Publication Number,User Label,Publication Date,,Strength,Ultimate Parent
US5023102,application/confection,6/11/91,1991,60,"Mondelez International, Inc."
US5024849,Application/Dairy Products,6/18/91,1991,40,Nestle Sa
US5030460,application/confection,7/9/91,1991,50,Monsanto Company
US5034232,application/confection,7/23/91,1991,20,"Fuji Oil Co., Ltd."
US5061503,application/infant,10/29/91,1991,70,The Procter & Gamble Company
US5061504,application/infant,10/29/91,1991,70,The Procter & Gamble Company
US5068117,soy/texture,11/26/91,1991,20,Nestle Sa
US5055310,,10/8/91,1991,40,"Ajinomoto Co., Inc."
US5087459,application/confection,2/11/92,1992,50,Mars Inc
US5097017,soy/deflavor,3/17/92,1992,50,E.i. Du Pont De Nemours & Company
US5100679,soy/texture,3/31/92,1992,80,"Cargill, Incorporated"
US5104677,application/infant,4/14/92,1992,90,Abbott Laboratories
US5116819,application/infant,5/26/92,1992,50,Nestle Sa
US5118520,application/soy sauce,6/2/92,1992,10,Kikkoman Corporation
US5149562,soy/texture,9/22/92,1992,30,"Mondelez International, Inc."
US5160758,Application/Meat Products,11/3/92,1992,40,"Protein Polymer Technologies, Inc."
US5164213,Application/Meat Products,11/17/92,1992,60,Archer Daniels Midland Company
US5166189,,11/24/92,1992,80,Nestle Sa
US5188860,application/pasta,2/23/93,1993,60,Nestle Sa
US5223285,application/infant,6/29/93,1993,80,Abbott Laboratories
US5230918,Application/Weight Control,7/27/93,1993,60,"Mondelez International, Inc."
US5234702,,8/10/93,1993,60,Abbott Laboratories
US5248765,soy/texture,9/28/93,1993,50,Abbott Laboratories
US5248804,soy/solubilize,9/28/93,1993,60,Abbott Laboratories
US5270450,soy/solubilize,12/14/93,1993,20,Abbott Laboratories
US5326569,application/infant,7/5/94,1994,70,Abbott Laboratories
US5330972,application/infant,7/19/94,1994,50,Abbott Laboratories
US5340603,application/infant,8/23/94,1994,60,Abbott Laboratories
US5342643,soy/deflavor,8/30/94,1994,70,"Pepsico, Inc."
US5360625,Application/Dairy Products,11/1/94,1994,60,Unilever N.v.
US5370882,,12/6/94,1994,20,Nestle Sa
US5389395,application/confection,2/14/95,1995,50,Abbott Laboratories
US5403826,application/infant,4/4/95,1995,60,Abbott Laboratories
US5433960,application/confection,7/18/95,1995,90,Mars Inc
US5433968,soy/texture,7/18/95,1995,60,Nestle Sa
US5433969,,7/18/95,1995,40,"Protein Polymer Technologies, Inc."
US5444054,application/infant,8/22/95,1995,80,Abbott Laboratories
US5472952,application/infant,12/5/95,1995,60,Nestle Sa
US5480663,application/soy sauce,1/2/96,1996,30,Nestle Sa
